trackNumber,fileSize,fileName
01,27.5M,Brother Man.flac
02,55.6M,Flashlight.flac
03,38.8M,Real Mother for Ya.flac
04,40.1M,Serpentine Fire.flac
05,26.1M,Naural Mystic.flac
06,26.6M,Exodus.flac
07,42.7M,Jupiter.flac
08,40.0M,Don't Leave Me this Way.flac
09,67.0M,Pigs.flac
10,23.3M,Night Fever.flac
11,47.8M,Got to Give it Up.flac
12,42.4M,Boogie Nights.flac
13,49.0M,Funkify Your Life.flac
14,32.0M,Best of My Love.flac
15,44.0M,Disco Inferno.flac
16,52.7M,Fly Like an Eagle.flac
17,35.6M,Funk Factory.flac
18,32.9M,Strawberry Letter 23.flac
19,27.0M,peg.flac
20,29.8M,Bop Gun.flac
21,42.9M,Still Feels Good.flac
22,17.8M,Movin' Out.flac
23,42.1M,Ffun.flac